State,Total Cases,Total Death,Death_100k,CasesInLast7Days,RatePer100000,total_test,totalTestResults,State of emergency,Stay at home/ shelter in place,End/relax stay at home/shelter in place,Closed non-essential businesses,Began to reopen businesses statewide,Mandate face mask use by employees in public-facing businesses,Weekly unemployment insurance maximum amount (dollars),Population density per square miles,Population 2018,Percent living under the federal poverty line (2018),Percent at risk for serious illness due to COVID,All-cause deaths 2018,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+
Maine,3423,109,8.1,232,255.8,93523,107932,3/15/2020,4/1/2020,5/31/2020,3/25/2020,5/1/2020,5/1/2020,445,37.83,1338404,11.6,42.5,14715,0.19,0.07,0.11,0.26,0.16,0.21
Maryland,69904,3246,53.7,3127,1156.8,529313,579962,3/5/2020,3/30/2020,5/15/2020,3/23/2020,5/15/2020,4/18/2020,430,487.08,6042718,9,37.1,50568,0.23,0.08,0.12,0.27,0.14,0.15
Massachusetts,109974,8183,118.6,1531,1593.3,842287,891685,3/10/2020,3/24/2020,5/18/2020,3/24/2020,5/18/2020,5/6/2020,823,653.98,6902149,10,34.6,59152,0.21,0.09,0.13,0.26,0.14,0.17
Michigan,72941,6218,62.3,3262,730.4,1029375,1146819,3/10/2020,3/24/2020,6/1/2020,3/24/2020,5/26/2020,4/26/2020,362,103.36,9995915,14.1,41.2,98903,0.23,0.09,0.12,0.25,0.14,0.17
Minnesota,38569,1511,26.9,3020,687.4,592955,674015,3/13/2020,3/28/2020,5/18/2020,3/28/2020,4/27/2020,6/1/2020,462,64.54,5611179,9.6,33.9,44745,0.24,0.08,0.13,0.25,0.14,0.16
Mississippi,31257,1114,37.3,5365,1046.6,283522,310141,3/14/2020,4/3/2020,4/27/2020,4/3/2020,4/27/2020,5/7/2020,235,61.66,2986530,19.7,42.5,32301,0.26,0.09,0.11,0.25,0.13,0.16
Missouri,23436,1028,16.8,3175,382.5,367406,419509,3/13/2020,4/6/2020,5/4/2020,0,5/4/2020,0,320,87.89,6126452,13.2,40.5,63117,0.24,0.09,0.12,0.25,0.14,0.17
Montana,1249,23,2.2,397,117.6,88743,100106,3/12/2020,3/28/2020,4/26/2020,3/28/2020,4/27/2020,0,552,7.22,1062305,13,39,9992,0.23,0.08,0.11,0.24,0.15,0.19
Nebraska,19929,284,14.7,1154,1033,175272,189928,3/13/2020,0,0,0,5/18/2020,5/4/2020,440,24.94,1929268,11,36.6,16904,0.26,0.09,0.12,0.25,0.13,0.16
Nevada,22646,557,18.4,6070,746.3,273017,307697,3/12/2020,3/31/2020,5/9/2020,3/21/2020,5/9/2020,5/9/2020,469,27.44,3034392,12.9,36.1,24715,0.24,0.08,0.13,0.27,0.13,0.16
